index_code,index_name,sector
A,大豆,油脂油料
AG,白银,贵金属
AL,铝,有色金属
AP,苹果,其他农产品
AU,黄金,贵金属
B,豆二,油脂油料
BB,胶合板,其他农产品
BC,国际铜,有色金属
BR,合成橡胶,化工
BU,沥青,能源
C,玉米,谷物
CF,棉花,软商品
CJ,红枣,其他农产品
CS,玉米淀粉,谷物
CU,铜,有色金属
CY,棉纱,软商品
EB,苯乙烯,化工
EC,集运指数（欧线）,其他
EG,乙二醇,化工
ER,早籼稻,谷物
FB,纤维板,其他农产品
FG,玻璃,黑色
FU,燃料油,能源
HC,热轧卷板,黑色
I,铁矿石,黑色
J,焦炭,黑色
JD,鸡蛋,畜牧
JM,焦煤,黑色
JR,粳稻,谷物
L,塑料,化工
LC,碳酸锂,有色金属
LH,生猪,畜牧
LR,晚籼稻,谷物
M,豆粕,油脂油料
MA,甲醇,化工
ME,甲醇,化工
NI,镍,有色金属
NR,20号胶,化工
OI,菜籽油,油脂油料
P,棕榈油,油脂油料
PB,铅,有色金属
PF,短纤,化工
PG,液化石油气,能源
PK,花生,油脂油料
PM,普麦,谷物
PP,聚丙烯,化工
PX,对二甲苯,化工
RB,螺纹钢,黑色
RI,早籼稻,谷物
RM,菜籽粕,油脂油料
RO,菜籽油,油脂油料
RR,粳米,谷物
RS,油菜籽,油脂油料
RU,橡胶,化工
SA,纯碱,化工
SC,原油,能源
SF,硅铁,黑色
SH,烧碱,化工
SI,工业硅,有色金属
SM,锰硅,黑色
SN,锡,有色金属
SP,纸浆,软商品
SR,白糖,软商品
SS,不锈钢,黑色
TA,PTA,化工
TC,动力煤,能源
UR,尿素,化工
V,PVC,化工
WH,强麦,谷物
WR,线材,黑色
WS,强麦,谷物
Y,豆油,油脂油料
ZC,动力煤,能源
ZN,锌,有色金属
